"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"21.03.2023","6,560","6,365","6,580","6,365","","5,28%"
"20.03.2023","6,231","5,990","6,329","5,735","35,74M","3,23%"
"17.03.2023","6,036","6,275","6,405","5,967","34,55M","-3,49%"
"16.03.2023","6,254","6,390","6,398","6,042","27,26M","3,41%"
"15.03.2023","6,048","6,681","6,687","5,929","49,37M","-9,60%"
"14.03.2023","6,690","6,430","6,729","6,371","24,00M","3,42%"
"13.03.2023","6,469","7,050","7,050","6,374","43,02M","-8,24%"
"10.03.2023","7,050","7,040","7,100","6,940","20,60M","-3,41%"
"09.03.2023","7,299","7,300","7,330","7,278","7,43M","-0,30%"
"08.03.2023","7,321","7,253","7,353","7,183","8,37M","0,47%"
"07.03.2023","7,287","7,450","7,555","7,287","14,56M","-2,14%"
"06.03.2023","7,446","7,400","7,454","7,370","6,98M","0,92%"
"03.03.2023","7,378","7,276","7,388","7,258","8,31M","1,63%"
"02.03.2023","7,260","7,205","7,262","7,135","9,82M","0,48%"
"01.03.2023","7,225","7,412","7,431","7,200","15,33M","-2,01%"
"28.02.2023","7,373","7,151","7,450","7,129","35,46M","2,59%"
"27.02.2023","7,187","7,070","7,220","7,064","11,03M","2,26%"
"24.02.2023","7,028","7,037","7,109","7,020","16,49M","-0,07%"
"23.02.2023","7,033","6,963","7,052","6,961","9,96M","1,24%"
"22.02.2023","6,947","6,923","6,950","6,878","11,97M","-0,30%"
"21.02.2023","6,968","6,958","6,989","6,842","8,37M","-0,07%"
"20.02.2023","6,973","7,001","7,023","6,964","5,04M","-0,04%"